"Gemeinde"	"absPov0"	"absPov1"	"relPov0"	"relPov1"	"pov_rel_municip0"	"pov_rel_municip1"	"relPov"	"pov_rel_municip"	"absPov"	"nHH"
540	1931	139	1862	208	1772	298	0.10048309178744	0.143961352657005	0.0671497584541063	2070
541	148	7	143	12	134	21	0.0774193548387097	0.135483870967742	0.0451612903225806	155
542	141	11	137	15	134	18	0.0986842105263158	0.118421052631579	0.0723684210526316	152
543	231	11	227	15	209	33	0.0619834710743802	0.136363636363636	0.0454545454545455	242
544	1278	130	1224	184	1206	202	0.130681818181818	0.143465909090909	0.0923295454545455	1408
545	90	6	81	15	83	13	0.15625	0.135416666666667	0.0625	96
546	3793	353	3620	526	3591	555	0.126869271587072	0.133863965267728	0.0851423058369513	4146
547	219	6	218	7	202	23	0.0311111111111111	0.102222222222222	0.0266666666666667	225
548	92	5	92	5	87	10	0.0515463917525773	0.103092783505155	0.0515463917525773	97
549	154	6	148	12	139	21	0.075	0.13125	0.0375	160
550	23	0	21	2	21	2				23
551	2389	259	2290	358	2263	385	0.135196374622357	0.145392749244713	0.097809667673716	2648
552	1612	127	1542	197	1503	236	0.11328349626222	0.13571017826337	0.0730304772857964	1739
553	39	2	38	3	37	4				41
554	340	30	327	43	327	43	0.116216216216216	0.116216216216216	0.0810810810810811	370
555	125	6	120	11	114	17	0.083969465648855	0.129770992366412	0.0458015267175573	131
556	136	8	132	12	129	15	0.0833333333333333	0.104166666666667	0.0555555555555556	144
557	221	9	218	12	203	27	0.0521739130434783	0.117391304347826	0.0391304347826087	230
561	1219	71	1117	173	1159	131	0.134108527131783	0.101550387596899	0.0550387596899225	1290
562	846	36	788	94	774	108	0.106575963718821	0.122448979591837	0.0408163265306122	882
563	2519	191	2321	389	2389	321	0.143542435424354	0.118450184501845	0.070479704797048	2710
564	304	30	277	57	295	39	0.170658682634731	0.116766467065868	0.0898203592814371	334
565	515	40	484	71	487	68	0.127927927927928	0.122522522522523	0.0720720720720721	555
566	416	21	388	49	379	58	0.112128146453089	0.132723112128146	0.0480549199084668	437
567	1346	107	1245	208	1282	171	0.143152099105299	0.117687543014453	0.0736407432897454	1453
571	475	53	431	97	451	77	0.183712121212121	0.145833333333333	0.100378787878788	528
572	954	75	915	114	898	131	0.110787172011662	0.127308066083576	0.0728862973760933	1029
573	1174	115	1095	194	1109	180	0.150504266873545	0.139643134212568	0.0892164468580295	1289
574	206	15	190	31	192	29	0.14027149321267	0.131221719457014	0.0678733031674208	221
575	170	10	159	21	155	25	0.116666666666667	0.138888888888889	0.0555555555555556	180
576	1507	115	1386	236	1410	212	0.145499383477189	0.130702836004932	0.0709001233045623	1622
