"Gemeinde"	"absPov0"	"absPov1"	"relPov0"	"relPov1"	"pov_rel_municip0"	"pov_rel_municip1"	"relPov"	"pov_rel_municip"	"absPov"	"nHH"
936	99	8	88	19	93	14	0.177570093457944	0.130841121495327	0.0747663551401869	107
937	96	8	88	16	88	16	0.153846153846154	0.153846153846154	0.0769230769230769	104
938	2005	141	1868	278	1823	323	0.129543336439888	0.150512581547064	0.0657036346691519	2146
939	6376	474	6038	812	5969	881	0.118540145985401	0.128613138686131	0.0691970802919708	6850
940	60	12	51	21	63	9	0.291666666666667	0.125	0.166666666666667	72
941	876	49	831	94	810	115	0.101621621621622	0.124324324324324	0.052972972972973	925
942	17854	1866	16803	2917	16974	2746	0.147920892494929	0.139249492900609	0.0946247464503043	19720
943	244	14	223	35	225	33	0.135658914728682	0.127906976744186	0.0542635658914729	258
944	2355	149	2248	256	2189	315	0.10223642172524	0.125798722044728	0.0595047923322684	2504
945	349	29	321	57	333	45	0.150793650793651	0.119047619047619	0.0767195767195767	378
946	86	7	76	17	85	8	0.182795698924731	0.0860215053763441	0.0752688172043011	93
947	103	1	87	17	87	17	0.163461538461538	0.163461538461538	0.00961538461538462	104
948	303	25	280	48	276	52	0.146341463414634	0.158536585365854	0.0762195121951219	328
951	432	36	403	65	410	58	0.138888888888889	0.123931623931624	0.0769230769230769	468
952	399	22	360	61	376	45	0.144893111638955	0.106888361045131	0.0522565320665083	421
953	484	49	434	99	465	68	0.185741088180113	0.127579737335835	0.0919324577861163	533
954	1768	203	1644	327	1694	277	0.165905631659056	0.140537798072045	0.102993404363267	1971
955	1558	139	1426	271	1487	210	0.159693576900412	0.123747790218032	0.0819092516205068	1697
956	1196	82	1117	161	1126	152	0.125978090766823	0.118935837245696	0.0641627543035994	1278
957	1887	191	1701	377	1818	260	0.181424446583253	0.12512030798845	0.0919153031761309	2078
958	349	24	320	53	335	38	0.142091152815013	0.101876675603217	0.064343163538874	373
959	176	14	171	19	172	18	0.1	0.0947368421052632	0.0736842105263158	190
960	425	34	383	76	406	53	0.16557734204793	0.115468409586057	0.0740740740740741	459
971	543	35	514	64	494	84	0.110726643598616	0.145328719723183	0.0605536332179931	578
972	20	0	19	1	19	1				20
973	273	14	263	24	259	28	0.0836236933797909	0.0975609756097561	0.0487804878048781	287
975	84	7	80	11	80	11	0.120879120879121	0.120879120879121	0.0769230769230769	91
976	110	12	107	15	105	17	0.122950819672131	0.139344262295082	0.0983606557377049	122
977	414	39	396	57	388	65	0.125827814569536	0.143487858719647	0.0860927152317881	453
978	40	4	38	6	38	6				44
979	2664	290	2508	446	2507	447	0.150981719702099	0.151320243737305	0.0981719702098849	2954
980	270	15	259	26	249	36	0.0912280701754386	0.126315789473684	0.0526315789473684	285
981	1505	181	1446	240	1424	262	0.142348754448399	0.155397390272835	0.107354685646501	1686
982	622	29	600	51	580	71	0.0783410138248848	0.109062980030722	0.0445468509984639	651
983	622	56	589	89	574	104	0.131268436578171	0.153392330383481	0.0825958702064897	678
985	233	13	217	29	226	20	0.117886178861789	0.0813008130081301	0.0528455284552846	246
987	190	11	182	19	176	25	0.0945273631840796	0.124378109452736	0.054726368159204	201
988	552	42	517	77	517	77	0.12962962962963	0.12962962962963	0.0707070707070707	594
989	411	37	398	50	397	51	0.111607142857143	0.113839285714286	0.0825892857142857	448
990	96	4	90	10	86	14	0.1	0.14	0.04	100
991	253	16	242	27	234	35	0.100371747211896	0.130111524163569	0.0594795539033457	269
992	844	83	796	131	785	142	0.141316073354908	0.153182308522114	0.0895361380798274	927
993	159	12	152	19	147	24	0.111111111111111	0.140350877192982	0.0701754385964912	171
995	843	101	795	149	792	152	0.157838983050847	0.161016949152542	0.106991525423729	944
996	80	7	79	8	78	9	0.0919540229885057	0.103448275862069	0.0804597701149425	87
